name,rating,text,label
Diana M,1,"honestly at first i came and the service was weird and i felt uncomfortable and the food was eh, but i decided to come a second time to give it a fair shot and i rather just drive to atlanta for boba and food honestly. the tapioca pearls were hard in the boba and the boba tasted powdered and watered down.",Good Review
Teqelia Cunningham,1,Poor customer service.,Good Review
Josiah Radcliffe,1,Hours of operation show they are open til 3pm but when you arrive there is a paper sign on the door that says they are closed from 12-1pm for lunch. So frustrating after making the 45 minute drive and arriving at 12:10pm!,Good Review
Tracy Underwood,1,"Electrical service goes out very frequently, even on nice days. Often stays out for hours.",Good Review
Thatchic,1,"Office staff seemed nice. Apparently they did not ask an important question. I was asked how many bedrooms and the number of items in each. I was also asked about living and dining room furniture. The guys showed up. One experienced, and one not. They started at one on, and by 3:30 they had only cleared one bedroom. My bedroom furniture is very heavy, and the guys were having a hard time. They informed management who brushed them off. I called with a concern about the time. I was told that my oak furniture was the problem. I was asked about quality of furniture on my initial call. This company moved this same furniture for me on a previous occasion. Anyway because of the time they had to leave some stuff behind and go to the drop off location. The supervisor eventually agreed to send help. Long after the mover told them of the problem. Initially I was told that I would have to cover this cost. Once the third guy arrived things went quick. He was experienced. My dresser was not able to be attached to my mirror because they left the screws for that at the location that I was leaving. So I have to find someone to do that. I live alone and don¡¯t have a clue on how to do that. I did find the screws at the old address. I also found a complete mess left behind by the workers. At the new location, my living room and dining room furniture was just placed wherever. Three of my nightstands were left wrapped in plastic. I have plenty of pictures if needed. I do not fault the workers. When the worker informed the supervisor of the heavy oak bedroom furniture, assistance should have been immediately provided. Not later. They guys had to leave everything as such because of the time. I could not afford to pay $125 per hour for two additional hours. This is what was needed because of the wasted hours on the ¡°heavy¡± furniture. Apparently they knew nothing about doing my move. It was a last minute surprise for them. They had just finished a job and was told that this job was only 12 items. Sounds like they were duped into it. Poor preparation on the supervisor¡¯s behalf. Again I do not fault the movers. They asked for help at the onset and were ignored. They were extremely apologetic for the inconvenience. This is by far the worst experience I have ever had with a moving company. I will not recommend this company at all. I will also be contacting the corporate office. I feel like I was robbed. The workers deserved to be paid, because they did their best. They were exhausted. I feel like my cost should have been heavily discounted because the job is inadequate and incomplete. I have to pay out more money to get someone to help sort through the mess left behind. This move cost me $750!!!",Good Review
Kelvin Banks,1,I have recently completed a move from Atlanta Georgia to Alabama The movers were very professional but failed to disclose information about the insurance and damage policy. During the move a 60 inch tv was damaged. Due to the vague explanation of if insurance. I am now responsible for replacing my television.,Good Review
Shawn Walker,1,My kids n wife went here and her nail broke after one day the acrilic is not covering her real nail. It's just crappy fast job,Good Review
Kensii E.,1,"Their son messed up the shape I asked for and caught a attitude. Then (assuming) his dad took over from there. From a distance all nails were the right length but each nail was a different shape. my pinkys were actually completely different lengths and on my middle finger he bent the nail and made it look squareish. I was not happy but not mad enough to make a a big deal out of it. It hasn¡¯t even been a whole week and my pointer finger nail snapped in half effortlessly so I took them all off. I do not recommend this place because they are sloppy, son is not trained, and cut my pinky as well. Nails were very thin as well. (Saraland)",Good Review
"FRE-MAR Whitetails, LLC",1,My kids love this kick ball sport! Lol,Irrelevant Content
Ronald Harrold,1,I don't know I did not stop there,Irrelevant Content
Chris Potter,1,I haven't been here.,Irrelevant Content
Big O¡¯s. MOTO Owens,1,This place is not in business. Lot is for sale,Irrelevant Content
Kevin Hendricks,1,Morning works!!!,Irrelevant Content
Malik Square,1,My taxes have not came it been a month and 7days I don't like that,Irrelevant Content
ThE_HH_tRuMpTeR,1,Cannot freestyle,Irrelevant Content
Amber Winn,3,"Cute shop, but the lack of boy clothes is sad. There were multiple racks of girl clothes and maybe 2 racks of boy clothes. Check out All About Baby in Huntsville instead, many more boy clothing options.",Advertisement
Kelley Williams,4,I'm a member of a group on Facebook that has offers and promotion codes for redbox movies. I really enjoy it a lot with my family ??. I totally recommend that any movie lover checks it out.. What are yall waiting for?,Advertisement
Roberto Garcia,5,Lowest Price in shoals Area..#CELL-PHONE-DOCTOR,Advertisement
stu 7004,5,I had State Farm insurance for over 15 years until I changed to J Smith Lanier thru Travelers auto insurance and now I save $25-$30 a month. Libby is really helpful and will make any changes fast and easy. I recommend J Smith Lanier because they sell many brands of insurance out there and are very affordable.,Advertisement
Daymond Chief Jones,5,"Went by to see Gooberr Pyle - from the Andy Griffith shoe, Mayberry RFD - Gomer Pyle's cousin - Mr. George Smith Lindsey whom is burryed there. He is burried in the Smith area near the street. My video on YouTube shows it well. His bural place is above ground. It's a nice looking vault. The place is very well kept. It's very beautiful. My YoouTube channel is called Daymond Chief Jones - the video is called - Goomer Pyles home town Jasper, Alabama He passed away from heart failure in 2012 in Memphis, Tennessee. Go by and see Goober - Tell him Chief said ""Hey' ... to him and his.",Advertisement
Darrell Stafford,5,Big discounts on home improvement merchandise 5 stars!! ??????,Advertisement
AACE,5,"Very professional business, the kindest staff. Also have great quality cars. Call Ralf for a quote, you wont regret it.",Advertisement
Edwin Ruano,5,Pk,Spam
JoBaby Smith,5,Grand reopening April 21 and April 22...,Advertisement
Aaron Miller,5,Let's get you hooked up with a phone and sliver package...worried about money? Smart pay can help with that.,Advertisement
Air Tech Mechanical Contractors LLC,5,"Awesome Deals on 4wheelers, ATV's, motorcycles, and accessories plus I'm very pleased with the service and repairs performed on my Harley at 2 Wheel Heaven. It was a pleasure doing business with you guys, thanks!",Advertisement
H Jane Martin,5,I contacted car accident Lawyer Mitchell J. Howie because he was highly recommended as one of the best lawyers in Huntsville. He went above and beyond in his representation of me and with his assistance I was able to achieve a settlement that I was happy with! I give the highest recommendation possible for Mitchell J. Howie because he is clearly the best lawyer in Huntsville!,Advertisement
Ashley Williamson,5,Kimberly was fast and efficient! Absolutely the best place to get a loan!! Go check the Ladies out @ Advance Cash Loans!!,Advertisement
Fred Hamilton,5,"After getting good reviews at Legends Barbershop in Hoover, it¡¯s time to get better reviews at Razors Barbershop in Hoover Al!",Advertisement
finefood,5,***OMG BUY NOW!!! *** www.cheapstuff.com !!! ***,Spam
finefood,5,"FREE MONEY, CLICK NOW!!!!!!$$**!!!!",Spam
finefood,5,LALA AJKS LSDKJFSJ KLDJSFJS gibberish!!!,Spam
finefood,5,"Just buy it, it¡¯s the best offer!! www.bestdeal.com",Spam
finefood,5,?? ?? ?? ?? !!! www.quickbucks.com !!! $$$,Spam
finefood,5,"The review is fake, I'm sure of it!!!! KJLDJLKJ!!",Spam
finefood,5,Does anyone know if this works?,Spam
finefood,5,I got it for freeeee!! WOWWWW BUY NOW!!,Spam
finefood,5,Link www.dontmissout.com Limited time offer,Spam
finefood,5,SUPERB QUALITY!!!! BUY NOW!!!!!!!!!!!!!!,Spam
finefood,5,Visit my site at www.mysite.com for discounts!,Spam
finefood,5,"HAHAHHAH, did you see the price????? $$ Free $$$$$$$$",Spam
finefood,5,Click my link to get free coins: www.earnmore.com,Spam
finefood,5,Is this thing real? Because I don¡¯t know!!,Spam
